wages,self_employment_income,odd_jobs,private_pensions,national_savings,bank_interest,stocks_shares,individual_savings_account,property,royalties,bonds_and_gilts,other_investment_income,other_income,alimony_and_child_support_received,private_sickness_scheme_benefits,accident_insurance_scheme_benefits,hospital_savings_scheme_benefits,unemployment_or_redundancy_insurance,permanent_health_insurance,any_other_sickness_insurance,critical_illness_cover,trade_union_sick_or_strike_pay,health_insurance,alimony_and_child_support_paid,trade_unions_etc,friendly_societies,work_expenses,avcs,other_deductions,loan_repayments,pension_contributions_employee,pension_contributions_employer,income_tax,national_insurance,local_taxes,social_fund_loan_repayment,student_loan_repayments,care_insurance,child_benefit,state_pension,bereavement_allowance,armed_forces_compensation_scheme,war_widows_pension,severe_disability_allowance,attendance_allowance,carers_allowance,industrial_injury_benefit,incapacity_benefit,personal_independence_payment_daily_living,personal_independence_payment_mobility,dla_self_care,dla_mobility,education_allowances,foster_care_payments,maternity_allowance,maternity_grant,funeral_grant,any_other_ni_or_state_benefit,friendly_society_benefits,government_training_allowances,contrib_jobseekers_allowance,guardians_allowance,widows_payment,winter_fuel_payments,working_tax_credit,child_tax_credit,non_contrib_employment_and_support_allowance,income_support,pension_credit,savings_credit,non_contrib_jobseekers_allowance,housing_benefit,free_school_meals,universal_credit,other_benefits,student_grants,student_loans,council_tax_benefit,contrib_employment_and_support_allowance,scottish_child_payment,scottish_carers_supplement,discresionary_housing_payment,scottish_disability_assistance_children_daily_living,scottish_disability_assistance_children_mobility,scottish_disability_assistance_older_people,scottish_disability_assistance_working_age_daily_living,scottish_disability_assistance_working_age_mobility,basic_income,employers_ni,scottish_income_tax,total_benefits,legacy_mtbs,means_tested_bens,non_means_tested_bens,sickness_illness,scottish_benefits,pension_relief_at_source,net_cost,id,data_year,sex,ethnic_group,is_child,age_band,employment_status,tenure,region,gross_decile,council,label
7.072456974307906e10,8.170795092977035e9,2.1654494748211086e7,8.8834141687099e9,4.083392411704883e7,8.07377378546974e7,4.759381423351386e8,2.3039265204987246e8,4.8957477966704667e8,1.4917404017801788e7,8.261722676172697e6,3.93987010191942e8,7.593658285033363e7,1.845179633293281e8,1.3648179430854484e7,488585.2598688415,0.0,5.302231983378612e6,5.885015858035465e6,1.767572776037728e7,2.5423459097592577e7,3.3873600493881465e6,0.0,0.0,78293.61910030179,0.0,391481.02254089393,0.0,78293.61910030179,0.0,4.85733265811108e8,1.4228624893351661e7,2.6279984522464016e10,5.283699555235687e9,2.9865849482286086e9,3.756691282211679e7,79751.35068120567,0.0,0.0,0.0,0.0,3.107469852927199e7,3.493970979732994e7,2.846203288893723e7,4.907972506107675e8,4.9495071109034646e8,0.0,0.0,9.453395368099957e8,5.2094822087748986e8,4.1121048367895955e8,2.888734650770718e8,0.0,291711.5168494097,0.0,5.197899287482469e7,2.1984387456105953e8,0.0,0.0,899358.876904983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.107031217328906e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.494061875623353e7,0.0,0.0,0.0,0.0,0.0,0.0,2.837689596705938e10,8.052711967299915e9,2.6154751381554024e10,3.204251694517871e10,0.0,8.107031217328906e7,3.1961446633005424e10,3.2455223197898016e9,6.494061875623353e7,1.1261231725776976e8,-2.7329767152651377e9,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Grant Total £p.a
2.322799107816303e6,323876.901807195,26830.53539518897,863478.5075432374,367268.61542697507,1.072319145526226e6,267990.93801324035,801548.9809677985,105037.7473348886,13038.292574864287,5918.124754461014,1.9632967442345317e6,28950.998826447874,63101.983226090095,3097.965264582577,234.53290096937744,0.0,1370.9234367927204,714.7333481224853,2538.4669453850747,773.43831839841,1147.1446993804902,0.0,0.0,465.2679081630605,0.0,1074.7292506322597,0.0,465.2679081630605,0.0,113624.97129472141,14400.615494294521,3.469145715114814e6,2.1780194614155395e6,2.510216634898106e6,50653.49156341721,300.1930176642189,0.0,0.0,0.0,0.0,7053.989264392093,5919.733347967842,6762.191244673618,124192.0,140321.1295510664,0.0,0.0,251474.45216464502,208148.32988993265,128194.94730568743,115906.21463298051,0.0,1987.5173176947728,0.0,2113.4192495858324,3510.354749448021,0.0,0.0,463.31612038270197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158386.46458093013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140321.1295510664,0.0,0.0,0.0,0.0,0.0,0.0,5.466e6,1.9769244677831992e6,3.467159276179497e6,5.466e6,0.0,158386.46458093013,5.466e6,654727.6950636436,140321.1295510664,113624.97129472141,3.522837678243921e6,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Counts
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.411657199170792e7,3.608092916410214e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2054012192422915e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.107031217328906e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.253615369017149e9,0.0,8.2054012192422915e6,3.3346856811904383e9,0.0,8.107031217328906e7,3.253615369017149e9,0.0,0.0,0.0,3.3264802799711957e9,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Missing_ILO_Employment - £p.a
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0543072334307968e6,21814.047580672843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21814.047580672843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158386.46458093016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0543072334307968e6,0.0,21814.047580672843,1.0543072334307968e6,0.0,158386.46458093016,1.0543072334307968e6,0.0,0.0,0.0,1.0543072334307968e6,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Missing_ILO_Employment - counts
6.191643134206287e10,8.587640332233568e8,6.0010857337457035e6,5.033938044331512e8,8.794034044683613e6,2.807037084777887e7,1.8986578595198202e8,6.731038477536076e7,2.1092565081225824e8,6.414015730154328e6,4.464120408961697e6,9.828284401662266e7,3.203756466743498e6,1.2265410782538739e8,7.618425974978468e6,3589.71263616779,0.0,2.50169882893889e6,481868.1418003551,1.5059507432891961e7,1.162631761168493e6,3.3539314972835504e6,0.0,0.0,78293.61910030179,0.0,51239.36045718552,0.0,78293.61910030179,0.0,4.483226103477897e8,1.3271990264396077e7,1.9178490248896103e10,4.586327333964016e9,1.3922764941906638e9,222796.49044012063,79751.35068120567,0.0,0.0,0.0,0.0,5.306120110565782e6,2.94602145191374e6,0.0,0.0,6.898513135921171e6,0.0,0.0,5.421546104187846e7,2.660765615625606e7,1.2924322060872197e7,7.911462559389825e6,0.0,84904.95508834324,0.0,1.1743813077222638e7,0.0,0.0,0.0,899358.876904983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905127.9279058368,0.0,0.0,0.0,0.0,0.0,0.0,8.558851679502134e9,7.380096958020193e9,1.9121023939821465e10,8.689294440856054e9,0.0,0.0,8.689294440856054e9,1.0946254288222356e8,905127.9279058368,1.0081703332581416e8,-1.6669433702846354e10,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Full_time_Employee - £p.a
1.7312114105168553e6,26686.565689125287,8517.308041449785,64776.724833618086,99381.53346360123,472676.0457222824,100239.15873300258,329422.64271162025,44844.676371034846,5375.346778347042,1183.4774561447393,413612.2479267797,634.3664327671868,42820.01077098115,1703.4148359773558,44.84069514844316,0.0,751.5552269822881,184.69962998507793,1952.2009860338371,321.6464255847636,1035.4873863953019,0.0,0.0,465.2679081630605,0.0,106.3446353305241,0.0,465.2679081630605,0.0,93627.3933586951,12143.3973336835,1.7408548666213863e6,1.6666970171451687e6,1.0869979757306757e6,473.9652166440716,300.1930176642189,0.0,0.0,0.0,0.0,1850.5241160000883,188.71826987985858,0.0,0.0,1955.7647534698292,0.0,0.0,14164.20372281536,11448.414146251864,5273.394287589535,3328.847963882541,0.0,367.8470836782054,0.0,571.2083880761031,0.0,0.0,0.0,463.31612038270197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1955.7647534698292,0.0,0.0,0.0,0.0,0.0,0.0,1.766878832216392e6,1.6325374889818798e6,1.7408548666213863e6,1.766878832216392e6,0.0,0.0,1.766878832216392e6,23109.864141048994,1955.7647534698292,93627.3933586951,221097.2598453512,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Full_time_Employee - counts
7.725637759729163e9,1.1476049019230065e8,7.763657177327691e6,6.408371050116459e8,3.57862701206771e6,7.557523601708029e6,4.2291086609125435e7,2.3935271756770916e7,6.086704104808025e7,888166.1239400819,275904.0442873759,1.686212484032997e7,4.519511536966014e6,4.1079786576218545e6,0.0,0.0,0.0,0.0,0.0,0.0,296222.9062821147,33428.55210459589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.657555651064809e7,956634.6289555858,2.1780720662064652e9,3.301179077754171e8,2.4333534302172434e8,100467.06550123567,0.0,0.0,0.0,0.0,0.0,1.6058864214929917e6,4.83727824758398e6,0.0,0.0,4.512476560770087e7,0.0,0.0,3.917189108209291e7,2.2084764294576965e7,2.317206950314296e7,1.6684742037639316e7,0.0,95252.04308146556,0.0,7.772037294938484e6,2.395149980039519e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.920650549907365e6,0.0,0.0,0.0,0.0,0.0,0.0,2.9733063244528894e9,5.185804906003965e8,2.170468475507495e9,3.1637271613354416e9,0.0,0.0,3.1637271613354416e9,1.5215888307506043e8,5.920650549907365e6,1.1538548852820914e7,3.891247466261933e8,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Part_time_Employee - £p.a
575411.5715100791,11601.266783385212,3794.6424351301434,63302.91973041436,42316.53379195987,125672.28813291549,28644.94377136354,107008.3374855716,10923.460061142703,987.3590320352174,487.5277182984411,110108.2972997266,184.20219374391257,2119.613443288379,0.0,0.0,0.0,0.0,0.0,0.0,179.52361553791525,111.6573129851883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19713.954183699218,2257.2181606110216,580153.2769487688,306518.47740093176,218868.24681799707,192.54468405438732,0.0,0.0,0.0,0.0,0.0,360.46434235003676,287.7361494684414,0.0,0.0,12793.108361943312,0.0,0.0,11314.038151670564,10576.485133580147,8611.224405543217,7882.19962943455,0.0,558.9831995549096,0.0,297.90149795794326,229.5147140352722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12793.108361943312,0.0,0.0,0.0,0.0,0.0,0.0,591162.221737769,332226.80221569655,580153.2769487688,591162.221737769,0.0,0.0,591162.221737769,35773.70756433626,12793.108361943312,19713.954183699218,418393.54113970685,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Part_time_Employee - counts
8.671178881067972e8,5.996670411146951e9,1.29136524403641e6,2.6951657577960676e8,3.029444996408304e6,6.338383790162519e6,4.364031752592999e7,1.277563567453653e7,4.5220063753434636e7,3.3982952936856207e6,85766.76345365033,1.8052423552663017e7,2.5041370220392905e6,1.5889994048498226e7,0.0,0.0,0.0,2.2362150683751525e6,994592.6789520291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622960.2947856111,0.0,2.3934987413317614e9,3.235740380920444e8,2.1058251850998867e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6719017262996887e6,0.0,0.0,1.4916638932853607e7,0.0,0.0,9.844394293412233e6,4.1706397467532787e6,5.105011113284377e6,2.7304211900575124e6,0.0,35066.72227414009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9571560164624439e6,0.0,0.0,0.0,0.0,0.0,0.0,1.2106612390213072e9,1.2955394992172164e8,2.384586038849236e9,1.2510924687627046e9,0.0,0.0,1.2510924687627046e9,3.872426129282346e7,1.9571560164624439e6,191517.13706282145,-1.6769458634452155e9,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Full_time_Self_Employed - £p.a
7800.2987326637785,205809.48871419183,3620.832031172742,25827.917877870175,28082.429418786098,61782.21088698848,17166.551901939652,46734.81238566666,11704.099419288457,2075.8005654594394,197.34700315956235,54528.15016302229,713.4502888176573,4115.656738622587,0.0,0.0,0.0,372.44741042976216,366.5639315887013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.1140225486103,0.0,219137.2899355093,169342.982994785,148596.97206403228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.8768557428201,0.0,0.0,4228.945584404589,0.0,0.0,2385.249318739249,2538.0899821756047,1382.072114039698,1382.072114039698,0.0,380.17424271661275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4228.945584404589,0.0,0.0,0.0,0.0,0.0,0.0,233041.23882711632,5789.952406496437,219137.2899355093,233041.23882711632,0.0,0.0,233041.23882711632,6647.406503488377,4228.945584404589,197.1140225486103,100178.61879942661,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Full_time_Self_Employed - counts
7.70685427614807e7,1.135512019836292e9,4.051199361768054e6,3.384256942470707e8,2.1309097633646103e6,2.3994562551405923e6,1.5510012131030347e7,1.1376923717735946e7,5.720265346365938e7,1.1055112892818628e6,178282.4461078461,6.227166862647082e6,2.5758572429932766e6,7.940914580546835e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212138.6578845865,0.0,4.8664866864868253e8,4.341455298686115e7,5.7436036732596025e7,315274.6773649389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.20076085647087e6,0.0,0.0,8.688592726096962e6,6.373372747381946e6,2.1463950605278425e6,882226.6811203104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2071971807679364e6,0.0,0.0,0.0,0.0,0.0,0.0,5.0820710419428545e8,6.9606808356028665e6,4.8315933950698483e8,5.367056494466513e8,0.0,0.0,5.367056494466513e8,2.8498545252365865e7,1.2071971807679364e6,65217.94207187368,-5.092404480563203e7,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Part_time_Self_Employed - £p.a
5120.211076783266,76523.96464057096,6727.427730176702,25114.224909230867,16352.390791769894,24008.5617673259,10552.450595503968,23692.619095390666,9403.347939709638,1260.7276402474233,694.2162822708449,24293.147084775675,508.4891947483401,1363.339148020185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.50972977848967,0.0,87386.9502567207,35389.534595970086,41384.91938347983,307.17972369623385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2608.464089818358,0.0,0.0,2190.593790016955,2396.2169584023204,459.1022973408287,713.4107634320372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2608.464089818358,0.0,0.0,0.0,0.0,0.0,0.0,88853.71263199765,3114.60819920439,87386.9502567207,88853.71263199765,0.0,0.0,88853.71263199765,5876.111738294308,2608.464089818358,86.50972977848967,63825.39672604835,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Part_time_Self_Employed - counts
0.0,0.0,85679.91934067027,6.221800264223963e7,131639.23809642135,285951.04289077094,1.0272031133556064e6,1.0075604001009634e6,2.361931167398937e6,0.0,0.0,1.2659311528448872e6,248216.70305584927,1.1485547588458207e7,0.0,0.0,0.0,564318.0860645702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91188.9096229924,0.0,0.0,0.0,0.0,0.0,1.860630145864978e7,0.0,5.075755883310434e7,6.621698670669402e6,0.0,0.0,0.0,0.0,0.0,98094.65272718134,0.0,0.0,0.0,1.3513536198972858e7,0.0,0.0,1.0808985733744336e7,2.8221077978850733e6,4.560593521358938e6,1.3592238381473098e6,0.0,0.0,0.0,0.0,4.869945668298135e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.773060191009339e6,0.0,0.0,0.0,0.0,0.0,0.0,5.801099816039407e8,0.0,1.8583708166608334e7,6.63745040220767e8,0.0,0.0,6.63745040220767e8,3.483750728111786e7,1.773060191009339e6,0.0,5.94381179929013e8,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Unemployed - £p.a
0.0,0.0,154.5086943346734,5484.275029999484,2482.9643404900507,13547.711888553025,1128.0583713342498,6512.636906971873,2059.180750919546,0.0,0.0,10569.671074907357,248.74862179841077,4723.633027240301,0.0,0.0,0.0,246.92079938067013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.56507218547455,0.0,0.0,0.0,0.0,0.0,17644.288988858694,0.0,59045.079827638605,10099.607806050153,0.0,0.0,0.0,0.0,0.0,256.2195785594691,0.0,0.0,0.0,3831.1585804004726,0.0,0.0,3307.1639579083726,1589.2769671292936,1606.5512606071302,1099.1335184017846,0.0,0.0,0.0,0.0,733.743458699305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3831.1585804004726,0.0,0.0,0.0,0.0,0.0,0.0,120926.78121522813,0.0,17644.288988858694,120926.78121522813,0.0,0.0,120926.78121522813,8278.264298409189,3831.1585804004726,0.0,119906.6419162209,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Unemployed - counts
1.3831421041874304e8,6.508813857813344e7,2.0309924117315193e6,6.681235136026329e9,2.176568103509832e7,3.1942658855433248e7,1.7508690281803772e8,1.0622033117519927e8,9.481025452674729e7,3.094621764849265e6,3.158078936886948e6,1.5312971416637528e8,1.956170961635898e7,1.2618173542776437e7,4.853277344614826e6,0.0,0.0,0.0,0.0,863001.598201366,0.0,0.0,0.0,0.0,0.0,0.0,2396.2780507136704,0.0,0.0,0.0,0.0,0.0,1.896852606260027e9,265722.4173482703,7.818949813147432e8,1.6808538002114617e6,0.0,0.0,0.0,0.0,0.0,1.8733968999925796e7,2.379236965347474e7,6.251312501184602e6,4.857553623382083e8,1.656864854725406e8,0.0,0.0,2.3242488514940315e8,1.634411377968783e8,1.5630386617772296e8,1.2203787754287103e8,0.0,0.0,0.0,0.0,5.757444393908814e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739099762942724e7,0.0,0.0,0.0,0.0,0.0,0.0,8.321831271554403e9,1.7519887922001433e7,1.8510445456989632e9,9.775572080888641e9,0.0,0.0,9.775572080888641e9,1.3536400267417517e9,2.1739099762942724e7,0.0,7.096558770896524e9,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Retired - £p.a
3255.6159799217426,3255.6159799217426,1369.7470471919496,627175.0014223595,160520.30894721896,294890.53786242055,101465.66303639617,256304.88992329442,20840.97987137671,2725.7706515282603,3094.955734089749,250103.05852656357,3838.968503402549,1056.3301906512634,1342.0784278781969,0.0,0.0,0.0,0.0,171.58207845347636,0.0,0.0,0.0,0.0,0.0,0.0,176.34809852282612,0.0,0.0,0.0,0.0,0.0,704732.8477617623,71.44927868366459,679603.9416785012,2247.329239225443,0.0,0.0,0.0,0.0,0.0,3172.9997729034985,4276.442973274802,1647.2654068746683,122880.08040408537,46972.9899804294,0.0,0.0,62982.1037726644,57964.07047424618,48109.93525391927,43670.5566166215,0.0,0.0,0.0,0.0,987.5524593502917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46972.9899804294,0.0,0.0,0.0,0.0,0.0,0.0,1.0113853617152486e6,3255.6159799217426,703479.8249065746,1.0113853617152486e6,0.0,0.0,1.0113853617152486e6,292219.8878661182,46972.9899804294,0.0,949609.0388585473,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Retired - counts
0.0,0.0,201923.59132567846,901546.9904827443,198656.14510246407,592449.5446865329,921057.1779603562,417799.49567145616,346410.96288728376,15972.387482871454,4426.362754026489,388940.43692953687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468813.51333563786,0.0,1.378309931366331e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.861021537988715e6,0.0,0.0,904063.398728088,2.4035897759503825e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244177.62716094765,0.0,0.0,0.0,0.0,0.0,0.0,4.1662147363615316e8,0.0,468813.51333563786,4.220343259759813e8,0.0,0.0,4.220343259759813e8,5.412852339828134e6,244177.62716094765,0.0,4.0778241314898235e8,1,0,Missing_Sex,Missing_Ethnic_Group,false,0,Missing_ILO_Employment,Missing_Tenure_Type,Missing_Standard_Region,0,No_Council,Student - £p.a
